Member_PortId,MemberNumber,PortfolioNumber,Description,ExSourceCode,ExPortfolioName,EqCompId,EqCompTyp,MemberStatId,Compliancedate,DataContent,MISReport,OnlineSuppressed,Deleted,CLoadId,ULoadId,ReviewThresholdCount,ReviewThresholdPC,UProcId,Enabled,APACSupplier,TPDValidationSettingId
61,9999,35,MODA Test Data,NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,11,11,NULL,NULL,100,1,0,1
62,9999,36,MODA Test Data Suppressed,NULL,NULL,NULL,NULL,NULL,NULL,M,0,1,0,11,11,NULL,NULL,100,1,0,1
63,9999,37,MODA Test Data 2,NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,11,11,NULL,NULL,100,1,0,1
64,9999,38,MODA Test Data 3,NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,11,11,NULL,NULL,100,1,0,1
65,9999,39,MODA Test Data Suppressed 2,NULL,NULL,NULL,NULL,NULL,NULL,M,0,1,0,11,11,NULL,NULL,100,1,0,1
66,9999,01,"Test                                              ",NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,259382,259382,NULL,NULL,999,1,0,1
67,0001,01,Bradford and Bingley Test,336,"BRADFORD & BINGLEY MTG        ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
68,0001,02,Cycle Test,999,"HSBC                          ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
69,0002,01,10 Cycle UAT,999,"HSBC                          ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
70,0001,03,HBOS,099,"BANK OF SCOTLAND              ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
71,0001,04,Nationwide Test,153,UCB Home Loans Corporation Ltd,NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
72,0001,05,Capital Bank Test,436,"THE MORTGAGE BUSINESS PLC     ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
73,0001,06,GMAC Test,138,"GMAC-RFC LIMITED              ",NULL,NULL,NULL,2005-09-24 00:00:00,M,0,0,1,259382,259382,NULL,NULL,999,1,0,1
80,6321,15,Bradford & Bingley Mortgages,336,"BRADFORD & BINGLEY MTG        ",NULL,NULL,NULL,NULL,M,1,1,0,259382,259382,NULL,NULL,999,1,0,1
81,1937,30,BOS Mortgages,099,"BANK OF SCOTLAND              ",NULL,NULL,NULL,NULL,M,1,0,0,259382,259382,NULL,NULL,999,1,0,1
82,4598,72,Capital Bank - The Mortgage Business Plc,436,"THE MORTGAGE BUSINESS PLC     ",NULL,NULL,NULL,NULL,M,1,1,1,856,234708,NULL,NULL,665854,1,0,1
83,7249,91,UCB Home Loans Corporation Ltd,153,UCB Home Loans Corporation Ltd,NULL,NULL,NULL,NULL,M,1,1,1,259382,259382,NULL,NULL,999,1,0,1
85,4123,81,Halifax Current Account,269,"HBOSCACC                      ",NULL,NULL,NULL,NULL,M,1,0,0,259382,259382,NULL,NULL,999,1,0,1
86,9901,01,CCJ,NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,259382,259382,NULL,NULL,999,1,0,1
